# Fictitious demo data for Microsoft 365 Copilot training. Not real customer, associate, vendor, or financial data.
Date,Channel,Region,Store Format,Customer Segment,Topic,Sentiment,Feedback Text,Resolution Status,Impact Area,Recommended Follow-Up
2026-04-01,Call Center,Southeast,Pro Center,Pro,Product availability,Negative,Drove 20 minutes and the item showed in stock but wasn't on the shelf.,Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-04-02,Online,Pacific Northwest,Metro,DIY,Delivery,Negative,Appliance delivery was a full day late with no update.,Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-03,Online,Pacific Northwest,Flagship,DIY,Mobile app / online order flow,Neutral,App works but search results are hit or miss.,In Progress,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-06,Online,South Central,Flagship,Services,Order pickup (BOPIS),Negative,Waited 25 minutes at the pickup counter on Saturday.,In Progress,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-04-06,Survey,Pacific Northwest,Standard,Pro,Product availability,Neutral,"Found most of what I needed, one item was out.",Resolved,Inventory / Availability,Escalate to replenishment; adjust safety stock on core SKUs
2026-04-07,Mobile App,South Central,Standard,First-time,Delivery,Negative,Delivery window was 8am-5pm and they came at 6:30pm.,Open,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-10,Online,Mountain West,Flagship,Services,Mobile app / online order flow,Negative,App kept logging me out during checkout.,Escalated,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-13,Survey,Southeast,Standard,Pro,Delivery,Negative,Appliance delivery was a full day late with no update.,Open,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-14,In-Store,Midwest,Standard,First-time,Installation/services,Positive,Flooring installation was flawless and right on schedule.,In Progress,Installation Services,Share positive feedback with store team; no action needed
2026-04-19,Call Center,Northeast,Pro Center,Pro,Order pickup (BOPIS),Negative,Waited 25 minutes at the pickup counter on Saturday.,Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
2026-04-19,Online,Midwest,Flagship,DIY,Mobile app / online order flow,Negative,Couldn't apply my Pro discount in the mobile app.,Open,Digital / App,Fix app checkout and inventory accuracy in digital flow
2026-04-20,In-Store,Southeast,Metro,Services,Installation/services,Neutral,Install was fine but the scheduling window was too wide.,In Progress,Installation Services,Improve install scheduling and installer communication
2026-04-20,Pro Desk,South Central,Flagship,Services,Installation/services,Negative,The installer no-showed and I had to take another day off.,Escalated,Installation Services,Improve install scheduling and installer communication
2026-04-22,Pro Desk,South Central,Flagship,Services,Order pickup (BOPIS),Positive,"Curbside pickup worked perfectly, in and out in five minutes.",Resolved,BOPIS / Fulfillment,Share positive feedback with store team; no action needed
2026-04-23,Online,Northeast,Flagship,First-time,Delivery,Negative,"No tracking on my delivery, had to call three times.",Escalated,Delivery / Logistics,Add delivery slots; improve delivery tracking and ETAs
2026-04-24,Mobile App,Northeast,Flagship,DIY,Delivery,Positive,Delivery team was on time and carefully placed everything.,Resolved,Delivery / Logistics,Share positive feedback with store team; no action needed
2026-04-27,Call Center,Midwest,Flagship,First-time,Order pickup (BOPIS),Neutral,"Order was ready, though signage for pickup was unclear.",Resolved,BOPIS / Fulfillment,Add weekend pickup staffing; tighten ready-for-pickup SLA
