Source Site,Page/Section,Title,Prompt/Description,Category/Tags,Platform(s),Duration,Source URL
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),AI Consultation,Prompt to help you understand how AI can help you in your specific role.,General; Copilot and Me,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Analyst Customer Sentiment,Prompt that uses Analyst in Copilot or Excel to calculate sentiment score for customer feedback and analyze in charts.,General; Analyst; Customer Service; Sales; Operations,Copilot; Analyst; Excel,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Analyst Generate Visual,Prompt that uses Analyst in Copilot or Excel generate unique visuals from the provided data.,General; Analyst; Sales; Finance,Copilot; Analyst; Excel,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Analyst Sales Forecast,Prompt that uses Analyst in Copilot or Excel to forecast store sales for the next three months.,General; Analyst; Sales; Operations,Copilot; Analyst; Excel,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Analyst Sales Trends,Prompt that uses Analyst in Copilot or Excel to identify sales trends in the provided data (or use your own data).,General; Analyst; Sales; Finance,Copilot; Analyst; Excel,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Analyst YoY Performance,Prompt that uses Analyst in Copilot or Excel to identify top and bottom performing stores based on year-over-year growth.,General; Analyst; Sales; Operations,Copilot; Analyst; Excel,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Board and Leadership 1:1 Prep,"Builds a structured briefing for a 1:1 with a board member, chair, or direct report.",General; Meetings; Summarization; Copilot and Me; Insights,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Competitor Campaign Radar,"Scans competitor campaigns, pricing, and bundle changes in the last 30 days with recommended counter-moves.",General; Marketing; Researcher; Insights,Copilot; Researcher; Word,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),AI ROI Analysis,"Prompt that uses Cowork to analyze AI initiatives for ROI and impact, and generates executive-ready Word and PowerPoint deliverables.",General; Finance; Insights; Operations; Cowork,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),At-Risk Client Detector,"Prompt that reviews the past month of client communications for negative sentiment or relationship friction, then drafts re-engagement emails for each flagged account.",Professional Services; General; Email; Advisory; Cowork,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Client Meeting Briefing,Prompt that generates a briefing for an upcoming client meeting and an email to the client engagement team for your review.,Professional Services; Meetings; Cowork; Email; Documents,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Client Relationship Health,Prompt that analyzes recent emails and documents to assess client account health across portfolio. Produces a leadership-ready status report.,Professional Services; Documents; Advisory; Cowork; Insights,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Executive Assistant,"Prompt that uses Cowork to function as an Executive Assistant to identify schedule conflicts, meeting prep, and email drafting.",General; Cowork; Tasks; Meetings; Email,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Monthly Business Review,"Prompt to generate an MBR slide with insights including trends, actions, and asks.",General; Document; Insights; Cowork,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Pending Response Tracker,"Prompt that scans recent emails to surface follow-ups owed to partners and senior leaders, then drafts emails for review.",General; Professional Services; Tasks; Cowork; Email,Cowork,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Earnings Call Prep,Builds an earnings-call briefing comparing performance to core competitors and drafts likely analyst Q&A.,General; Researcher; Finance; Analyst,Copilot; Researcher; Word,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Email Confirmation,Drafts an email to confirm understanding of request.,General; Email,Copilot; Outlook,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Email Re-write,Re-write an email more concise and in a more professional tone.,General; Email,Copilot; Outlook,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Emails by Topic,Helps identify important information by topic on emails sent last week.,General; Email,Copilot; Outlook,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Employee Feedback,Searches all artifacts to find employee feedback sent on a direct report.,General; Human Resources; People Management,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Employee Performance,Helps analyize notes to produce a performance summary for an employee.,General; Human Resources; People Management,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Executive Regulatory Change Briefing,Summarizes recent regulatory and compliance changes across operating markets with readiness status for the risk or audit committee.,General; Legal; Insights; Researcher,Copilot; Researcher; Teams; Word,10 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Executive Thank You Note,"Drafts a short, personal thank-you message from the executive for a person or team tied to a specific outcome.",General; Email; People Management; Copilot and Me,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Executive Weekly Digest,"Summarizes the executive's past week across email, chats, and meetings grouped by stakeholder theme (board, investors, regulators, customers, people).",General; Copilot and Me; Insights; Summarization,Copilot; Outlook; Teams,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Executive Weekly Update Draft,"Drafts a concise weekly update for the board chair, investors, or direct reports, grouped by project or topic.",General; Copilot and Me; Summarization,Copilot; Outlook; Teams; Word,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Project on Track,"Helps determine if a project is on track based on email, Teams, and calendar invites.",General; Project Management,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
wonderful-rock-0a753af0f.1.azurestaticapps.net,Executive Copilot Workshop (home),Followup Questions,Creates list of questions based on open items in chats/email.,General; Email; Tasks,Copilot,5 min,https://wonderful-rock-0a753af0f.1.azurestaticapps.net
